Bug_Pair,SAT_UNSAT,Solver_Time_s,Instructions,Completed_Paths,Partial_Paths,Test_Cases
01_02,SAT,296.697,195898,5138,3149,7757
01_03,SAT,126.789,17040961,148115,363192,9
01_04,SAT,133.968,16499500,144429,304118,12
01_05,SAT,0.054,1108,4,2,5
01_06,SAT,0.041,621,7,2,8
01_07,SAT,0.04,836,4,8,5
01_08,SAT,0.03,427,4,2,5
01_09,SAT,1.885,7209,261,97,262
01_10,SAT,0.04,406,2,2,3
01_11,SAT,0.05,392,2,2,3
01_12,SAT,0.033,392,2,2,3
02_03,UNSAT,281.741,1091198,9795,23885,33680
02_04,UNSAT,282.783,1066822,9606,23269,32875
02_05,SAT,294.452,397589,2664,3909,6294
02_06,SAT,294.216,435892,2101,3797,5646
02_07,SAT,297.454,463452,2902,4074,6620
02_08,SAT,294.319,351604,4182,3668,7515
02_09,SAT,293.111,295187,11173,2444,13095
02_10,SAT,295.183,366015,3167,3865,6662
02_11,SAT,295.519,354052,3258,3853,6720
02_12,SAT,295.519,360442,3218,3846,6675
03_04,UNSAT,180.526,14833887,4556,235188,239744
03_05,SAT,131.945,16373826,38665,310087,7
03_06,SAT,145.254,15448679,24305,288395,9
03_07,SAT,129.704,17466137,43958,290741,9
03_08,SAT,125.357,17382481,54926,323355,7
03_09,SAT,130.147,16943307,41673,327008,7
03_10,SAT,140.212,15027782,46268,312447,7
03_11,SAT,141.657,15329440,50224,321210,7
03_12,SAT,148.072,14491140,46024,301829,7
04_05,UNSAT,137.912,15519742,36539,282573,11
04_06,UNSAT,148.494,14711462,23326,265304,15
04_07,UNSAT,135.055,16486482,41747,265107,13
04_08,UNSAT,132.099,16472472,52559,290219,11
04_09,SAT,132.739,17792847,44201,291310,11
04_10,UNSAT,145.926,15284376,47247,294689,11
04_11,UNSAT,147.921,14824696,48811,301340,11
04_12,UNSAT,147.995,14832886,47281,298524,11
05_06,SAT,0.023,490,3,1,4
05_07,SAT,0.03,715,2,7,3
05_08,SAT,0.018,410,2,1,3
05_09,SAT,0.714,3799,131,49,5
05_10,SAT,0.03,414,2,1,2
05_11,SAT,0.022,406,2,1,2
05_12,SAT,0.022,410,2,1,2
06_07,SAT,0.04,969,10,7,7
06_08,SAT,0.03,359,4,1,5
06_09,SAT,0.749,4057,142,49,7
06_10,SAT,0.036,367,4,1,5
06_11,SAT,0.036,351,4,1,5
06_12,SAT,0.036,359,4,1,5
07_08,SAT,0.028,811,8,7,5
07_09,SAT,0.793,23165,850,322,7
07_10,SAT,0.032,755,2,7,3
07_11,SAT,0.032,723,2,7,3
07_12,SAT,0.032,739,2,7,3
08_09,SAT,0.719,3935,142,49,5
08_10,SAT,0.02,190,2,1,3
08_11,SAT,0.021,182,2,1,3
08_12,SAT,0.021,186,2,1,3
09_10,SAT,1.415,11722,129,49,4
09_11,SAT,1.39,11016,129,49,4
09_12,SAT,1.385,11362,129,49,4
10_11,SAT,0.013,169,1,1,2
10_12,SAT,0.017,165,1,1,2
11_12,SAT,0.016,161,1,1,2
