bug_pair,buffer_hex,length
01_02,0x0504ffffff,5
01_03,0xffffffffffffffffffffffffffffffffffffff,19
01_04,0xffffffffffffffffffffffffffffffff0100ff11ffffff,23
01_05,0x00000000,4
01_06,0x0000000000000000,8
01_07,0x000000000000,6
01_08,0x00000000000000000000000000000000,16
01_09,0xffffffffffffffffffffffffffffffff,16
01_10,0x0000,2
01_11,0x0000,2
01_12,0x0000,2
02_05,0x0504ffffff,5
02_06,0x0504ffffffffffff,8
02_07,0x0504ffffffff,6
02_08,0x0504ffffffffffffffffffffffffffff,16
02_09,0x05ffffffffffffffffffffffffffffffff,17
02_10,0x0504ffffff,5
02_11,0x0504ffffff,5
02_12,0x0504ffffff,5
03_05,0xffffffffffffffffffffffffffffffffffffff,19
03_06,0xffffffffffffffffffffffffffffffffffffff,19
03_07,0xffffffffffffffffffffffffffffffffffffff,19
03_08,0xffffffffffffffffffffffffffffffffffffff,19
03_09,0xffffffffffffffffffffffffffffffffffffff,19
03_10,0xffffffffffffffffffffffffffffffffffffff,19
03_11,0xffffffffffffffffffffffffffffffffffffff,19
03_12,0xffffffffffffffffffffffffffffffffffffff,19
04_09,0xffffffffffffffffffffffffffffffff0100ff11ffffff,23
05_06,0x0000000000000000,8
05_07,0x000000000000,6
05_08,0x00000000000000000000000000000000,16
05_09,0xffffffffffffffffffffffffffffffff,16
05_10,0x00000000,4
05_11,0x00000000,4
05_12,0x00000000,4
06_07,0x0000000000000000,8
06_08,0x00000000000000000000000000000000,16
06_09,0xffffffffffffffffffffffffffffffff,16
06_10,0x0000000000000000,8
06_11,0x0000000000000000,8
06_12,0x0000000000000000,8
07_08,0x00000000000000000000000000000000,16
07_09,0xffffffffffffffffffffffffffffffff,16
07_10,0x000000000000,6
07_11,0x000000000000,6
07_12,0x000000000000,6
08_09,0xffffffffffffffffffffffffffffffff,16
08_10,0x00000000000000000000000000000000,16
08_11,0x00000000000000000000000000000000,16
08_12,0x00000000000000000000000000000000,16
09_10,0xffffffffffffffffffffffffffffffff,16
09_11,0xffffffffffffffffffffffffffffffff,16
09_12,0xffffffffffffffffffffffffffffffff,16
10_11,0x0000,2
10_12,0x0000,2
11_12,0x0000,2
